date,latitude,longitude,country,state,search_count,location,geo_code,search_term,year
2022-01-02,40.7127281,-74.0060152,United States,NY,59,New York,US-NY-501,Fishing,2022
2022-01-09,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2022
2022-01-16,40.7127281,-74.0060152,United States,NY,59,New York,US-NY-501,Fishing,2022
2022-01-23,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2022
2022-01-30,40.7127281,-74.0060152,United States,NY,67,New York,US-NY-501,Fishing,2022
2022-02-06,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2022
2022-02-13,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2022
2022-02-20,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Fishing,2022
2022-02-27,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2022
2022-03-06,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2022
2022-03-13,40.7127281,-74.0060152,United States,NY,63,New York,US-NY-501,Fishing,2022
2022-03-20,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2022
2022-03-27,40.7127281,-74.0060152,United States,NY,62,New York,US-NY-501,Fishing,2022
2022-04-03,40.7127281,-74.0060152,United States,NY,69,New York,US-NY-501,Fishing,2022
2022-04-10,40.7127281,-74.0060152,United States,NY,75,New York,US-NY-501,Fishing,2022
2022-04-17,40.7127281,-74.0060152,United States,NY,78,New York,US-NY-501,Fishing,2022
2022-04-24,40.7127281,-74.0060152,United States,NY,77,New York,US-NY-501,Fishing,2022
2022-05-01,40.7127281,-74.0060152,United States,NY,75,New York,US-NY-501,Fishing,2022
2022-05-08,40.7127281,-74.0060152,United States,NY,64,New York,US-NY-501,Fishing,2022
2022-05-15,40.7127281,-74.0060152,United States,NY,73,New York,US-NY-501,Fishing,2022
2022-05-22,40.7127281,-74.0060152,United States,NY,79,New York,US-NY-501,Fishing,2022
2022-05-29,40.7127281,-74.0060152,United States,NY,90,New York,US-NY-501,Fishing,2022
2022-06-05,40.7127281,-74.0060152,United States,NY,90,New York,US-NY-501,Fishing,2022
2022-06-12,40.7127281,-74.0060152,United States,NY,91,New York,US-NY-501,Fishing,2022
2022-06-19,40.7127281,-74.0060152,United States,NY,88,New York,US-NY-501,Fishing,2022
2022-06-26,40.7127281,-74.0060152,United States,NY,93,New York,US-NY-501,Fishing,2022
2022-07-03,40.7127281,-74.0060152,United States,NY,100,New York,US-NY-501,Fishing,2022
2022-07-10,40.7127281,-74.0060152,United States,NY,97,New York,US-NY-501,Fishing,2022
2022-07-17,40.7127281,-74.0060152,United States,NY,93,New York,US-NY-501,Fishing,2022
2022-07-24,40.7127281,-74.0060152,United States,NY,94,New York,US-NY-501,Fishing,2022
2022-07-31,40.7127281,-74.0060152,United States,NY,96,New York,US-NY-501,Fishing,2022
2022-08-07,40.7127281,-74.0060152,United States,NY,88,New York,US-NY-501,Fishing,2022
2022-08-14,40.7127281,-74.0060152,United States,NY,84,New York,US-NY-501,Fishing,2022
2022-08-21,40.7127281,-74.0060152,United States,NY,83,New York,US-NY-501,Fishing,2022
2022-08-28,40.7127281,-74.0060152,United States,NY,90,New York,US-NY-501,Fishing,2022
2022-09-04,40.7127281,-74.0060152,United States,NY,76,New York,US-NY-501,Fishing,2022
2022-09-11,40.7127281,-74.0060152,United States,NY,67,New York,US-NY-501,Fishing,2022
2022-09-18,40.7127281,-74.0060152,United States,NY,65,New York,US-NY-501,Fishing,2022
2022-09-25,40.7127281,-74.0060152,United States,NY,68,New York,US-NY-501,Fishing,2022
2022-10-02,40.7127281,-74.0060152,United States,NY,76,New York,US-NY-501,Fishing,2022
2022-10-09,40.7127281,-74.0060152,United States,NY,70,New York,US-NY-501,Fishing,2022
2022-10-16,40.7127281,-74.0060152,United States,NY,63,New York,US-NY-501,Fishing,2022
2022-10-23,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2022
2022-10-30,40.7127281,-74.0060152,United States,NY,63,New York,US-NY-501,Fishing,2022
2022-11-06,40.7127281,-74.0060152,United States,NY,59,New York,US-NY-501,Fishing,2022
2022-11-13,40.7127281,-74.0060152,United States,NY,52,New York,US-NY-501,Fishing,2022
2022-11-20,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2022
2022-11-27,40.7127281,-74.0060152,United States,NY,60,New York,US-NY-501,Fishing,2022
2022-12-04,40.7127281,-74.0060152,United States,NY,54,New York,US-NY-501,Fishing,2022
2022-12-11,40.7127281,-74.0060152,United States,NY,57,New York,US-NY-501,Fishing,2022
2022-12-18,40.7127281,-74.0060152,United States,NY,56,New York,US-NY-501,Fishing,2022
2022-12-25,40.7127281,-74.0060152,United States,NY,55,New York,US-NY-501,Fishing,2022
2021-12-26,40.7127281,-74.0060152,United States,NY,73,New York,US-NY-501,Bass Fishing,2022
2022-01-02,40.7127281,-74.0060152,United States,NY,58,New York,US-NY-501,Bass Fishing,2022
2022-01-09,40.7127281,-74.0060152,United States,NY,52,New York,US-NY-501,Bass Fishing,2022
2022-01-16,40.7127281,-74.0060152,United States,NY,45,New York,US-NY-501,Bass Fishing,2022
